"data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,preco_atacado,preco_atacado_qtd,preco_promocao,preco_fidelidade"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888896,BANANA PRATA -1 KG,4.39,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888897,BANANA TERRA -1 KG,10.90,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888898,BATATA DOCE -1 KG,4.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888899,BATATA MONALISA -1 KG,4.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888901,BERINJELA -1 KG,6.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888902,BETERRABA -1 KG,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888906,CEBOLA -1 KG,7.19,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888908,CEBOLA ROXA -1 KG,10.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888910,CENOURA -1 KG,4.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888911,CHEIRO VERDE -1 MC/CX,1.60,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888912,CHUCHU -1 KG,2.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888914,COUVE MANTEIGA -1 MC/CX,3.59,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888915,FIGO -1 KG,25.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888916,GENGIBRE -1 KG,14.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888917,GOIABA -1 KG,7.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888918,INHAME -1 KG,6.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888921,LARANJA BAHIA -1 KG,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888922,LARANJA LIMA -1 KG,5.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888923,LARANJA PERA -1 KG,3.39,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888924,LIMÃO ROSA -1 KG,2.79,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888925,LIMÃO TAITI -1 KG,6.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888926,MAÇÃ FUJI -1 KG,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888927,MAÇÃ GALA -1 KG,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888928,MAÇÃ VERDE -1 KG,18.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888929,MAMÃO FORMOSA -1 KG,7.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888932,MANGA TOMY -1 KG,7.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888933,MARACUJÁ -1 KG,14.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888934,MELANCIA -1 KG,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888935,MELÃO AMARELO -1 KG,8.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888936,MILHO VERDE ( ESPIGA ) -1 BJ,5.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888940,PEPINO -1 KG,3.89,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888941,PEPINO JAPONÊS -1 KG,3.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888943,PÊSSEGO NACIONAL -1 KG,10.90,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888944,PIMENTÃO VERDE -1 KG,10.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888945,PIMENTÃO VERMELHO -1 KG,17.99,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888948,QUIABO -1 KG,11.90,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888950,REPOLHO ROXO -1 UN,5.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888951,REPOLHO VERDE -1 UN,3.29,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888952,RÚCULA -1 MC/CX,3.49,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888953,SALSA -1 MC/CX,2.00,0.00,0,0.00,0.00"
"2023-11-08,136,Super Curitiba,Rua Marcos Antônio Malucelli, 947 - Curitiba/PR,8,888955,TOMATE CEREJA -1 KG,8.99,0.00,0,0.00,0.00"
